,IMDBId,movie title,language,country,runtime (mins),mpaarating,metacritic score,budget,distributionCompany,Awards,Total_Noms,writer1,writer2,director,Lead_Actor,Supporting_Actor_1,Supporting_Actor_2,genre,main_genre,subgenre,release_date,season
3489,tt1300854,Iron Man Three,English,USA,130,PG-13,62.0,200000000.0,Walt Disney Studios Motion Pictures,Best Achievement in Visual Effects,1,Drew Pearce,Shane Black,Shane Black,Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Action' 'Adventure,Action,Adventure,2013-05-03,Spring
3492,tt0096438,Who Framed Roger Rabbit,English,USA,104,PG,83.0,70000000.0,Buena Vista Pictures,Best Art Direction-Set Decoration,6,Gary K. Wolf,Jeffrey Price,Robert Zemeckis,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Animation' 'Adventure,Animation,Adventure,1988-06-22,Summer
3498,tt3183630,The Boy and the World,Portuguese,Brazil,80,PG,80.0,8000000.0,GKIDS,Best Animated Feature Film of the Year,1,Alê Abreu,,Alê Abreu,Vinicius Garcia,Marco Aurélio Campos,Lu Horta,Animation' 'Adventure,Animation,Adventure,2014-01-17,Winter
3501,tt0112462,Batman Forever,English,USA,121,PG-13,51.0,100000000.0,Warner Bros.,Best Cinematography,3,Bob Kane,Lee Batchler,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Action' 'Adventure,Action,Adventure,1995-06-16,Summer
3505,tt1423894,Barney's Version,English,Italy,134,R,67.0,30000000.0,Sony Pictures Classics,Best Achievement in Makeup,1,Mordecai Richler,Michael Konyves,Richard J. Lewis,Paul Giamatti,Rosamund Pike,Jake Hoffman,Comedy' 'Drama,Comedy,Drama,2011-02-18,Winter
3506,tt0162346,Ghost World,English,USA,111,R,88.0,7000000.0,United Artists,"Best Writing, Screenplay Based on Material Previously Produced or Published",1,Daniel Clowes,Daniel Clowes,Terry Zwigoff,Steve Buscemi,Thora Birch,Scarlett Johansson,Comedy' 'Drama,Comedy,Drama,2001-09-21,Fall
3507,tt1023490,Il divo,Italian,Italy,110,Not Rated,81.0,,MPI Home Video,Best Achievement in Makeup,1,Paolo Sorrentino,,Paolo Sorrentino,Toni Servillo,Anna Bonaiuto,Giulio Bosetti,Biography' 'Drama,Biography,Drama,2008-05-28,Spring
3509,tt0975645,Hitchcock,English,USA,98,PG-13,55.0,15700000.0,Fox Searchlight Pictures,Best Achievement in Makeup and Hairstyling,1,John J. McLaughlin,Stephen Rebello,Sacha Gervasi,Anthony Hopkins,Helen Mirren,Scarlett Johansson,Biography' 'Drama,Biography,Drama,2012-12-14,Winter
3511,tt0091419,Little Shop of Horrors,English,USA,94,PG-13,81.0,25000000.0,Warner Bros.,"Best Effects, Visual Effects",2,Howard Ashman,Howard Ashman,Frank Oz,Rick Moranis,Ellen Greene,Vincent Gardenia,Comedy' 'Horror,Comedy,Horror,1986-12-19,Winter
3513,tt0099371,Days of Thunder,English,USA,107,PG-13,60.0,60000000.0,Paramount Pictures,Best Sound,1,Robert Towne,Tom Cruise,Tony Scott,Tom Cruise,Nicole Kidman,Robert Duvall,Action' 'Drama,Action,Drama,1990-06-27,Summer
3515,tt4575576,Christopher Robin,English,UK,104,PG,60.0,75000000.0,Walt Disney Studios Motion Pictures,Best Achievement in Visual Effects,1,A.A. Milne,Ernest Shepard,Marc Forster,Ewan McGregor,Hayley Atwell,Bronte Carmichael,Comedy' 'Drama,Comedy,Drama,2018-08-03,Summer
3518,tt2096673,Inside Out,English,USA,95,PG,94.0,175000000.0,Walt Disney Studios Motion Pictures,"Best Writing, Original Screenplay",2,Pete Docter,Ronnie Del Carmen,Pete Docter,Amy Poehler,Bill Hader,Lewis Black,Animation' 'Adventure,Animation,Adventure,2015-06-19,Summer
3521,tt1204342,The Muppets,English,USA,103,PG,75.0,45000000.0,Walt Disney Studios Motion Pictures,"Best Achievement in Music Written for Motion Pictures, Original Song",1,Jason Segel,Nicholas Stoller,James Bobin,Amy Adams,Jason Segel,Chris Cooper,Adventure' 'Comedy,Adventure,Comedy,2011-11-23,Fall
3522,tt0944835,Salt,English,USA,100,PG-13,65.0,110000000.0,Columbia Pictures,Best Achievement in Sound Mixing,1,Kurt Wimmer,,Phillip Noyce,Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Action' 'Thriller,Action,Thriller,2010-07-23,Summer
3524,tt3279124,Last Days in Vietnam,English,USA,98,Not Rated,86.0,,American Experience Films,"Best Documentary, Feature",1,Mark Bailey,Keven McAlester,Rory Kennedy,Richard Nixon,Henry Kissinger,Stuart Herrington,Documentary' 'History,Documentary,History,2014-01-17,Winter
3525,tt0329575,Seabiscuit,English,USA,140,PG-13,72.0,87000000.0,Universal Pictures,Best Picture,7,Laura Hillenbrand,Gary Ross,Gary Ross,Tobey Maguire,Jeff Bridges,Elizabeth Banks,Drama' 'History,Drama,History,2003-07-25,Summer
3532,tt0120201,Starship Troopers,English,USA,129,R,51.0,105000000.0,Sony Pictures Releasing,"Best Effects, Visual Effects",1,Edward Neumeier,Robert A. Heinlein,Paul Verhoeven,Casper Van Dien,Denise Richards,Dina Meyer,Action' 'Adventure,Action,Adventure,1997-11-07,Fall
3534,tt5848272,Ralph Breaks the Internet,English,USA,112,PG,71.0,175000000.0,Walt Disney Studios Motion Pictures,Best Animated Feature Film,1,Phil Johnston,Pamela Ribon,Phil Johnston,John C. Reilly,Sarah Silverman,Gal Gadot,Animation' 'Adventure,Animation,Adventure,2018-11-21,Fall
3535,tt0382932,Ratatouille,English,USA,111,G,96.0,150000000.0,Buena Vista Pictures,"Best Writing, Original Screenplay",5,Brad Bird,Jan Pinkava,Brad Bird,Brad Garrett,Lou Romano,Patton Oswalt,Animation' 'Adventure,Animation,Adventure,2007-06-29,Summer
3540,tt0102798,Robin Hood: Prince of Thieves,English,USA,143,PG-13,51.0,48000000.0,Warner Bros.,"Best Music, Original Song",1,Pen Densham,Pen Densham,Kevin Reynolds,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,Action' 'Adventure,Action,Adventure,1991-06-14,Summer
3541,tt0145653,Angela's Ashes,English,USA,145,R,54.0,50000000.0,Paramount Pictures,"Best Music, Original Score",1,Frank McCourt,Laura Jones,Alan Parker,Emily Watson,Robert Carlyle,Joe Breen,Drama,Drama,,2000-01-21,Winter
3543,tt0105690,Under Siege,English,France,103,R,58.0,35000000.0,Warner Bros.,"Best Effects, Sound Effects Editing",2,J.F. Lawton,,Andrew Davis,Steven Seagal,Gary Busey,Tommy Lee Jones,Action' 'Thriller,Action,Thriller,1992-10-09,Fall
3545,tt2140373,Saving Mr. Banks,English,USA,125,PG-13,65.0,35000000.0,Walt Disney Studios Motion Pictures,"Best Achievement in Music Written for Motion Pictures, Original Score",1,Kelly Marcel,Sue Smith,John Lee Hancock,Emma Thompson,Tom Hanks,Annie Rose Buckley,Biography' 'Comedy,Biography,Comedy,2013-12-20,Winter
3546,tt0211181,102 Dalmatians,English,USA,100,G,35.0,85000000.0,Buena Vista Pictures,Best Costume Design,1,Dodie Smith,Kristen Buckley,Kevin Lima,Glenn Close,Gérard Depardieu,Ioan Gruffudd,Adventure' 'Comedy,Adventure,Comedy,2000-11-22,Fall
3547,tt1809398,Unbroken,English,USA,137,PG-13,59.0,65000000.0,Universal Pictures,Best Achievement in Cinematography,3,Joel Coen,Ethan Coen,Angelina Jolie,"""Jack O'Connell""",Miyavi,Domhnall Gleeson,Action' 'Biography,Action,Biography,2014-12-25,Winter
3551,tt0096446,Willow,English,USA,126,PG,47.0,35000000.0,Metro-Goldwyn-Mayer,"Best Effects, Sound Effects Editing",2,George Lucas,Bob Dolman,Ron Howard,Val Kilmer,Joanne Whalley,Warwick Davis,Action' 'Adventure,Action,Adventure,1988-05-20,Spring
3553,tt0120780,Out of Sight,English,USA,123,R,85.0,48000000.0,Universal Pictures,Best Film Editing,2,Elmore Leonard,Scott Frank,Steven Soderbergh,George Clooney,Jennifer Lopez,Ving Rhames,Comedy' 'Crime,Comedy,Crime,1998-06-26,Summer
3555,tt1355644,Passengers,English,USA,116,PG-13,41.0,110000000.0,Columbia Pictures,Best Achievement in Production Design,2,Jon Spaihts,,Morten Tyldum,Jennifer Lawrence,Chris Pratt,Michael Sheen,Drama' 'Romance,Drama,Romance,2016-12-21,Winter
3557,tt3040964,The Jungle Book,English,UK,106,PG,77.0,175000000.0,Walt Disney Studios Motion Pictures,Best Achievement in Visual Effects,1,Justin Marks,Rudyard Kipling,Jon Favreau,Neel Sethi,Bill Murray,Ben Kingsley,Adventure' 'Drama,Adventure,Drama,2016-04-15,Spring
3558,tt1399103,Transformers: Dark of the Moon,English,USA,154,PG-13,42.0,195000000.0,Paramount Pictures,Best Achievement in Sound Mixing,3,Ehren Kruger,,Michael Bay,Shia LaBeouf,Rosie Huntington-Whiteley,Tyrese Gibson,Action' 'Adventure,Action,Adventure,2011-06-29,Summer
3561,tt0097044,Chances Are,English,USA,108,PG,62.0,16000000.0,TriStar Pictures,"Best Music, Original Song",1,Perry Howze,Randy Howze,Emile Ardolino,Cybill Shepherd,Robert Downey Jr.,"""Ryan O'Neal""",Comedy' 'Fantasy,Comedy,Fantasy,1989-03-10,Winter
3562,tt3917210,"Life, Animated",English,USA,92,PG,75.0,145000000.0,Sony Pictures Home Entertainment,Best Documentary Feature,1,Ron Suskind,Emily Hubley,Roger Ross Williams,Owen Suskind,Ron Suskind,Cornelia Suskind,Documentary' 'Comedy,Documentary,Comedy,2016-10-20,Fall
3567,tt5462602,The Big Sick,English,USA,120,R,86.0,5000000.0,Amazon Studios,Best Original Screenplay,1,Emily V. Gordon,Kumail Nanjiani,Michael Showalter,Kumail Nanjiani,Zoe Kazan,Holly Hunter,Comedy' 'Drama,Comedy,Drama,2017-07-14,Summer
3568,tt0301199,Dirty Pretty Things,English,UK,97,R,78.0,10000000.0,Echo Bridge Home Entertainment,"Best Writing, Original Screenplay",1,Steven Knight,,Stephen Frears,Chiwetel Ejiofor,Audrey Tautou,Sophie Okonedo,Crime' 'Drama,Crime,Drama,2003-09-05,Fall
3573,tt0428803,March of the Penguins,French,France,80,G,79.0,8000000.0,Warner Independent Pictures,"Best Documentary, Features",1,Luc Jacquet,Luc Jacquet,Luc Jacquet,Morgan Freeman,Charles Berling,Romane Bohringer,Documentary' 'Family,Documentary,Family,2005-07-22,Summer
3575,tt0186566,Space Cowboys,English,USA,130,PG-13,73.0,65000000.0,Warner Bros.,Best Sound Editing,1,Ken Kaufman,Howard Klausner,Clint Eastwood,Clint Eastwood,Tommy Lee Jones,Donald Sutherland,Action' 'Adventure,Action,Adventure,2000-08-04,Summer
3577,tt0371746,Iron Man,English,USA,126,PG-13,79.0,140000000.0,Paramount Pictures,Best Achievement in Sound Editing,2,Mark Fergus,Hawk Ostby,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Action' 'Adventure,Action,Adventure,2008-05-02,Spring
3579,tt0092965,Empire of the Sun,English,USA,153,PG,62.0,35000000.0,Warner Bros.,Best Art Direction-Set Decoration,6,Tom Stoppard,J.G. Ballard,Steven Spielberg,Christian Bale,John Malkovich,Miranda Richardson,Action' 'Drama,Action,Drama,1987-12-25,Winter
3585,tt0085255,Blue Thunder,English,USA,109,R,66.0,22000000.0,Columbia Pictures,Best Film Editing,1,"""Dan O'Bannon""",Don Jakoby,John Badham,Roy Scheider,Warren Oates,Candy Clark,Action' 'Crime,Action,Crime,1983-05-13,Spring
3587,tt1856101,Blade Runner 2049,English,USA,164,R,81.0,150000000.0,Warner Bros.,Best Achievement in Cinematography,5,Hampton Fancher,Michael Green,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Action' 'Drama,Action,Drama,2017-10-06,Fall
3592,tt0110148,Interview with the Vampire: The Vampire Chronicles,English,USA,123,R,59.0,60000000.0,Geffen Pictures,Best Art Direction-Set Decoration,2,Anne Rice,Anne Rice,Neil Jordan,Brad Pitt,Tom Cruise,Antonio Banderas,Drama' 'Horror,Drama,Horror,1994-11-11,Fall
3594,tt0103855,The Bodyguard,English,USA,129,R,39.0,25000000.0,Warner Bros.,"Best Music, Original Song",1,Lawrence Kasdan,,Mick Jackson,Kevin Costner,Whitney Houston,Gary Kemp,Action' 'Drama,Action,Drama,1992-11-25,Fall
3595,tt0114709,Toy Story,English,USA,81,G,95.0,30000000.0,Buena Vista Pictures,"Best Music, Original Musical or Comedy Score",3,John Lasseter,Pete Docter,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Animation' 'Adventure,Animation,Adventure,1995-11-22,Fall
3601,tt0209958,The Cell,English,USA,107,R,40.0,33000000.0,New Line Cinema,Best Makeup,1,Mark Protosevich,,Tarsem Singh,Jennifer Lopez,Vince Vaughn,"""Vincent D'Onofrio""",Horror' 'Sci-Fi,Horror,Sci-Fi,2000-08-18,Summer
3602,tt0120915,Star Wars: Episode I - The Phantom Menace,English,USA,136,PG,51.0,115000000.0,Twentieth Century Fox,"Best Effects, Sound Effects Editing",3,George Lucas,,George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,Action' 'Adventure,Action,Adventure,1999-05-19,Spring
3605,tt0095801,Bagdad Cafe,English,West Germany,95,PG,71.0,,Island Pictures,"Best Music, Original Song",1,Eleonore Adlon,Percy Adlon,Percy Adlon,Marianne Sägebrecht,CCH Pounder,Jack Palance,Comedy' 'Drama,Comedy,Drama,1988-04-22,Spring
3607,tt0090633,An American Tail,English,USA,80,G,38.0,46170129.883116886,Universal Pictures,"Best Music, Original Song",1,Judy Freudberg,Tony Geiss,Don Bluth,Dom DeLuise,Christopher Plummer,Erica Yohn,Animation' 'Adventure,Animation,Adventure,1986-11-21,Fall
3608,tt0407304,War of the Worlds,English,USA,116,PG-13,73.0,132000000.0,Paramount Pictures,Best Achievement in Sound Mixing,3,Josh Friedman,David Koepp,Steven Spielberg,Tom Cruise,Dakota Fanning,Tim Robbins,Adventure' 'Sci-Fi,Adventure,Sci-Fi,2005-06-29,Summer
3611,tt0381681,Before Sunset,English,USA,80,R,90.0,2700000.0,Warner Independent Pictures,"Best Writing, Adapted Screenplay",1,Richard Linklater,Julie Delpy,Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Drama' 'Romance,Drama,Romance,2004-07-30,Summer
3612,tt0097576,Indiana Jones and the Last Crusade,English,USA,127,PG-13,65.0,48000000.0,Paramount Pictures,"Best Effects, Sound Effects Editing",3,Jeffrey Boam,George Lucas,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Action' 'Adventure,Action,Adventure,1989-05-24,Spring
3617,tt0389860,Click,English,USA,107,PG-13,45.0,82500000.0,Columbia Pictures,Best Achievement in Makeup,1,Steve Koren,"""Mark O'Keefe""",Frank Coraci,Adam Sandler,Kate Beckinsale,Christopher Walken,Comedy' 'Drama,Comedy,Drama,2006-06-23,Summer
3620,tt0310793,Bowling for Columbine,English,USA,120,R,72.0,4000000.0,Metro-Goldwyn-Mayer,"Best Documentary, Features",1,Michael Moore,,Michael Moore,Michael Moore,Charlton Heston,Marilyn Manson,Documentary' 'Crime,Documentary,Crime,2002-11-15,Fall
3623,tt6412452,The Ballad of Buster Scruggs,English,USA,133,R,79.0,88800000.0,Netflix,Best Adapted Screenplay,3,Joel Coen,Ethan Coen,Ethan Coen,Tim Blake Nelson,Willie Watson,Clancy Brown,Comedy' 'Drama,Comedy,Drama,2018-11-09,Fall
3626,tt3063516,Jackass Presents: Bad Grandpa,English,USA,92,R,54.0,15000000.0,Paramount Pictures,Best Achievement in Makeup and Hairstyling,1,Johnny Knoxville,Spike Jonze,Jeff Tremaine,Johnny Knoxville,Jackson Nicoll,Gregorio,Comedy,Comedy,,2013-10-25,Fall
3627,tt1661199,Cinderella,English,USA,105,PG,67.0,95000000.0,Walt Disney Studios Motion Pictures,Best Achievement in Costume Design,1,Chris Weitz,Charles Perrault,Kenneth Branagh,Lily James,Cate Blanchett,Richard Madden,Drama' 'Family,Drama,Family,2015-03-13,Winter
3630,tt1490017,The Lego Movie,English,USA,100,PG,83.0,60000000.0,Warner Bros.,"Best Achievement in Music Written for Motion Pictures, Original Song",1,Phil Lord,Christopher Miller,Christopher Miller,Chris Pratt,Will Ferrell,Elizabeth Banks,Animation' 'Action,Animation,Action,2014-02-07,Winter
3632,tt0116683,James and the Giant Peach,English,UK,79,PG,78.0,38000000.0,Buena Vista Pictures,"Best Music, Original Musical or Comedy Score",1,Roald Dahl,Karey Kirkpatrick,Henry Selick,Paul Terry,Joanna Lumley,Pete Postlethwaite,Animation' 'Adventure,Animation,Adventure,1996-04-12,Spring
3635,tt0338348,The Polar Express,English,USA,100,G,61.0,165000000.0,Warner Bros.,"Best Achievement in Music Written for Motion Pictures, Original Song",3,Chris Van Allsburg,Robert Zemeckis,Robert Zemeckis,Tom Hanks,Chris Coppola,Michael Jeter,Animation' 'Adventure,Animation,Adventure,2004-11-10,Fall
3638,tt0212720,A.I. Artificial Intelligence,English,USA,146,PG-13,65.0,100000000.0,Warner Bros.,"Best Effects, Visual Effects",2,Brian Aldiss,Ian Watson,Steven Spielberg,Haley Joel Osment,Jude Law,"""Frances O'Connor""",Drama' 'Sci-Fi,Drama,Sci-Fi,2001-06-29,Summer
3640,tt2113681,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,Swedish,Sweden,114,R,58.0,,Music Box Films,Best Achievement in Makeup and Hairstyling,1,Felix Herngren,Hans Ingemansson,Felix Herngren,Robert Gustafsson,Iwar Wiklander,David Wiberg,Adventure' 'Comedy,Adventure,Comedy,2015-05-08,Spring
3641,tt0422720,Marie Antoinette,English,USA,123,PG-13,65.0,40000000.0,Columbia Pictures,Best Achievement in Costume Design,1,Sofia Coppola,,Sofia Coppola,Kirsten Dunst,Jason Schwartzman,Rip Torn,Biography' 'Drama,Biography,Drama,2006-10-20,Fall
3642,tt2527336,Star Wars: Episode VIII - The Last Jedi,English,USA,152,PG-13,84.0,317000000.0,Buena Vista Home Entertainment,Best Achievement in Music Written for Motion Pictures (Original Score),4,Rian Johnson,George Lucas,Rian Johnson,Daisy Ridley,John Boyega,Mark Hamill,Action' 'Adventure,Action,Adventure,2017-12-15,Winter
3646,tt0810784,Bright Star,English,UK,119,PG,81.0,8500000.0,Apparition,Best Achievement in Costume Design,1,Jane Campion,Jane Campion,Jane Campion,Abbie Cornish,Ben Whishaw,Paul Schneider,Biography' 'Drama,Biography,Drama,2009-10-09,Fall
3647,tt6105098,The Lion King,English,USA,118,PG,55.0,260000000.0,Walt Disney Studios Motion Pictures,Best Achievement in Visual Effects,3,Jeff Nathanson,Irene Mecchi,Jon Favreau,Donald Glover,Beyoncé,Seth Rogen,Animation' 'Adventure,Animation,Adventure,2019-07-19,Summer
3648,tt0097757,The Little Mermaid,English,USA,83,G,88.0,40000000.0,Buena Vista Pictures,"Best Music, Original Score",2,John Musker,Ron Clements,Ron Clements,Jodi Benson,Samuel E. Wright,Rene Auberjonois,Animation' 'Family,Animation,Family,1989-11-17,Fall
3650,tt0298148,Shrek 2,English,USA,93,PG,75.0,150000000.0,DreamWorks Distribution,"Best Achievement in Music Written for Motion Pictures, Original Song",2,William Steig,Andrew Adamson,Andrew Adamson,Mike Myers,Eddie Murphy,Cameron Diaz,Animation' 'Adventure,Animation,Adventure,2004-05-19,Spring
3652,tt0100802,Total Recall,English,USA,113,R,57.0,65000000.0,TriStar Pictures,"Best Effects, Sound Effects Editing",2,Philip K. Dick,Ronald Shusett,Paul Verhoeven,Arnold Schwarzenegger,Sharon Stone,Michael Ironside,Action' 'Sci-Fi,Action,Sci-Fi,1990-06-01,Summer
3655,tt0096244,Tequila Sunrise,English,USA,115,R,62.0,23000000.0,Warner Bros.,Best Cinematography,1,Robert Towne,,Robert Towne,Mel Gibson,Michelle Pfeiffer,Kurt Russell,Crime' 'Drama,Crime,Drama,1988-12-02,Winter
3656,tt0079756,The Promise,English,USA,97,PG,42.0,46170129.883116886,Universal Pictures,"Best Music, Original Song",1,Fred Weintraub,Paul M. Heller,Gilbert Cates,Kathleen Quinlan,Stephen Collins,Beatrice Straight,Drama' 'Romance,Drama,Romance,1979-08-02,Summer
3658,tt0907657,Once,English,Ireland,86,R,88.0,150000.0,Fox Searchlight Pictures,"Best Achievement in Music Written for Motion Pictures, Original Song",1,John Carney,,John Carney,Glen Hansard,Markéta Irglová,Hugh Walsh,Drama' 'Music,Drama,Music,2007-06-15,Summer
3659,tt1408101,Star Trek Into Darkness,English,USA,132,PG-13,72.0,190000000.0,Paramount Pictures,Best Achievement in Visual Effects,1,Roberto Orci,Alex Kurtzman,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Action' 'Adventure,Action,Adventure,2013-05-16,Spring
3660,tt0120794,The Prince of Egypt,English,USA,99,PG,64.0,70000000.0,DreamWorks Distribution,"Best Music, Original Musical or Comedy Score",2,Philip LaZebnik,Nicholas Meyer,Brenda Chapman,Val Kilmer,Ralph Fiennes,Michelle Pfeiffer,Animation' 'Adventure,Animation,Adventure,1998-12-18,Winter
3662,tt0126029,Shrek,English,USA,90,PG,84.0,60000000.0,DreamWorks Distribution,"Best Writing, Screenplay Based on Material Previously Produced or Published",2,William Steig,Ted Elliott,Andrew Adamson,Mike Myers,Eddie Murphy,Cameron Diaz,Animation' 'Adventure,Animation,Adventure,2001-05-18,Spring
3664,tt0368447,The Village,English,USA,108,PG-13,44.0,60000000.0,Buena Vista Pictures,"Best Achievement in Music Written for Motion Pictures, Original Score",1,M. Night Shyamalan,,M. Night Shyamalan,Sigourney Weaver,William Hurt,Joaquin Phoenix,Drama' 'Mystery,Drama,Mystery,2004-07-30,Summer
3667,tt0082348,Excalibur,English,USA,140,PG,56.0,11000000.0,Orion Pictures,Best Cinematography,1,Thomas Malory,Rospo Pallenberg,John Boorman,Nigel Terry,Helen Mirren,Nicholas Clay,Adventure' 'Drama,Adventure,Drama,1981-04-10,Spring
3669,tt0088763,Back to the Future,English,USA,116,PG,87.0,19000000.0,Universal Pictures,"Best Effects, Sound Effects Editing",4,Robert Zemeckis,Bob Gale,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Adventure' 'Comedy,Adventure,Comedy,1985-07-03,Summer
3673,tt1521197,Anonymous,English,UK,130,PG-13,50.0,30000000.0,Columbia Pictures,Best Achievement in Costume Design,1,John Orloff,,Roland Emmerich,Rhys Ifans,Vanessa Redgrave,David Thewlis,Drama' 'Thriller,Drama,Thriller,2011-10-28,Fall
